BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
Bouvier des Flandres,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,"Affectionate, Courageous, Strong-Willed",Daily Brushing,Seasonal,Energetic,Agreeable,Alert/Responsive,"Bouvier des Flandresは犬種です。

体高は24.5〜69.8cm (オス)、 23.5〜67.3cm (メス)です。
体重は70〜49.9kgです。
寿命は10〜12 年です。

特徴は愛情深いです、勇敢です、意志が強いです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Boxer,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,"Bright, Fun-Loving, Active",Weekly Brushing,Occasional,Energetic,Easy Training,Outgoing,"Boxerは犬種です。

体高は23〜63.5cm (オス)、 21.5〜59.7cm (メス)です。
体重は65〜36.3kg (オス)、 メス are about 6.8kg 未満 オスです。
寿命は10〜12 年です。

特徴は明るいです、楽しいことが好きです、活動的です。

多くの運動を必要とします。
しつけは容易な傾向があります。
社交的な性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Boykin Spaniel,"15.5-18 inches (male), 14-16.5 inches (female)","30-40 pounds (male), 25-35 pounds (female)",10-15 years,"Friendly, Eager, Lovable",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Eager to Please,Alert/Responsive,"Boykin Spanielは犬種です。

体高は15.5〜45.7cm (オス)、 14〜41.9cm (メス)です。
体重は30〜18.1kg (オス)、 25〜15.9kg (メス)です。
寿命は10〜15 年です。

特徴は友好的です、熱心です、愛らしいです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bracco Italiano,21-27 inches,55-90 pounds,10-14 years,"Affectionate, Intelligent, Enthusiastic",Occasional Bath/Brush,Occasional,Energetic,Easy Training,Alert/Responsive,"Bracco Italianoは犬種です。

体高は21〜68.6cmです。
体重は55〜40.8kgです。
寿命は10〜14 年です。

特徴は愛情深いです、知的です、熱意があります。

多くの運動を必要とします。
しつけは容易な傾向があります。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Braque du Bourbonnais,19-22.5 inches,35-53 pounds,10-12 years,"Affectionate, Adaptable, Gentle",Occasional Bath/Brush,,Regular Exercise,Eager to Please,Alert/Responsive,"Braque du Bourbonnaisは犬種です。

体高は19〜57.1cmです。
体重は35〜24kgです。
寿命は10〜12 年です。

特徴は愛情深いです、適応力があります、穏やかで優しいです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
不明"
Braque Francais Pyrenean,18.5-23 inches,40-55 pounds,,"Friendly, Smart, Willing to Please",Occasional Bath/Brush,Seasonal,Needs Lots of Activity,,,"Braque Francais Pyreneanは犬種です。

体高は18.5〜58.4cmです。
体重は40〜24.9kgです。
寿命は不明です。

特徴は友好的です、頭がいいです、人に喜んでもらいたい性格です。

非常に活発で、多くの運動や遊びが必要です。
不明
不明
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Briard,"23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12 years,"Confident, Smart, Faithful",Daily Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"Briardは犬種です。

体高は23〜68.6cm (オス)、 22〜64.8cm (メス)です。
体重は55〜45.4kgです。
寿命は12 年です。

特徴は自信に満ちています、頭がいいです、誠実です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
毎日のブラッシングが必要です。
抜け毛は少ないです。"
Brittany,17.5-20.5 inches,30-40 pounds,12-14 years,"Bright, Fun-Loving, Upbeat",2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Friendly,"Brittanyは犬種です。

体高は17.5〜52.1cmです。
体重は30〜18.1kgです。
寿命は12〜14 年です。

特徴は明るいです、楽しいことが好きです、陽気で明るいです。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Broholmer,27.5-29.5 inches,90-150 pounds,8-10 years,"Friendly, Watchful, Loving",Occasional Bath/Brush,Seasonal,Calm,,,"Broholmerは犬種です。

体高は27.5〜74.9cmです。
体重は90〜68kgです。
寿命は8〜10 年です。

特徴は友好的です、用心深いです、愛情深いです。

落ち着いています。
不明
不明
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Brussels Griffon,7-10 inches,8-10 pounds,12-15 years,"Loyal, Alert, Curious",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"Brussels Griffonは犬種です。

体高は7〜25.4cmです。
体重は8〜4.5kgです。
寿命は12〜15 年です。

特徴は忠実です、警戒心が強いです、好奇心旺盛です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bull Terrier,21-22 inches,50-70 pounds,12-13 years,"Playful, Charming, Mischievous",Weekly Brushing,Seasonal,Energetic,Independent,Friendly,"Bull Terrierは犬種です。

体高は21〜55.9cmです。
体重は50〜31.8kgです。
寿命は12〜13 年です。

特徴は遊び好きです、魅力的です、いたずら好きです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Bulldog,14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,"Friendly, Courageous, Calm",2-3 Times a Week Brushing,Regularly,Regular Exercise,Agreeable,Friendly,"Bulldogは犬種です。

体高は14〜38.1cmです。
体重は22.7kg (オス)、 18.1kg (メス)です。
寿命は8〜10 年です。

特徴は友好的です、勇敢です、冷静です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
定期的に抜け毛があります。"
Bullmastiff,"25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7-9 years,"Affectionate, Loyal, Brave",Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"Bullmastiffは犬種です。

体高は25〜68.6cm (オス)、 24〜66cm (メス)です。
体重は110〜59kg (オス)、 100〜54.4kg (メス)です。
寿命は7〜9 年です。

特徴は愛情深いです、忠実です、勇敢です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Cairn Terrier,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,"Alert, Cheerful, Busy",Weekly Brushing,Occasional,Regular Exercise,Agreeable,Friendly,"Cairn Terrierは犬種です。

体高は25.4cm (オス)、 24.1cm (メス)です。
体重は6.4kg (オス)、 5.9kg (メス)です。
寿命は13〜15 年です。

特徴は警戒心が強いです、朗らかです、常に何かしていたい性格です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Canaan Dog,"20-24 inches (male), 19-23 inches (female)","45-55 pounds (male), 35-45 pounds (female)",12-15 years,"Confident, Alert, Vigilant",Weekly Brushing,Frequent,Regular Exercise,Independent,Reserved with Strangers,"Canaan Dogは犬種です。

体高は20〜61cm (オス)、 19〜58.4cm (メス)です。
体重は45〜24.9kg (オス)、 35〜20.4kg (メス)です。
寿命は12〜15 年です。

特徴は自信に満ちています、警戒心が強いです、警戒心が強いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
普段から抜け毛が多い犬種です。"
Cane Corso,"25-27.5 inches (male), 23.5-26 inches (female)",Proportionate to height,9-12 years,"Affectionate, Intelligent, Majestic",Occasional Bath/Brush,Occasional,Energetic,Agreeable,Alert/Responsive,"Cane Corsoは犬種です。

体高は25〜69.8cm (オス)、 23.5〜66cm (メス)です。
体重は体高に比例です。
寿命は9〜12 年です。

特徴は愛情深いです、知的です、威厳があります。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Cardigan Welsh Corgi,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,"Affectionate, Loyal, Smart",Weekly Brushing,Seasonal,Energetic,Agreeable,Alert/Responsive,"Cardigan Welsh Corgiは犬種です。

体高は10.5〜31.8cmです。
体重は30〜17.2kg (オス)、 25〜15.4kg (メス)です。
寿命は12〜15 年です。

特徴は愛情深いです、忠実です、頭がいいです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Carolina Dog,17.75-19.5 inches,30-55 pounds,,"Loyal, Independent, Reserved with Strangers",Occasional Bath/Brush,Seasonal,Regular Exercise,Eager to Please,Alert/Responsive,"Carolina Dogは犬種です。

体高は17.75〜49.5cmです。
体重は30〜24.9kgです。
寿命は不明です。

特徴は忠実です、独立心が強いです、人見知りをします。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Catahoula Leopard Dog,22-24 inches,50-95 pounds,10-14 years,"Loyal, Independent, Watchful",,,Needs Lots of Activity,Independent,Reserved with Strangers,"Catahoula Leopard Dogは犬種です。

体高は22〜61cmです。
体重は50〜43.1kgです。
寿命は10〜14 年です。

特徴は忠実です、独立心が強いです、用心深いです。

非常に活発で、多くの運動や遊びが必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
不明
不明"
Caucasian Shepherd Dog,23-30 inches,99-170 pounds,10-12 years,"Fearless, Bold, Kind",2-3 Times a Week Brushing,Regularly,Calm,Independent,Aloof/Wary,"Caucasian Shepherd Dogは犬種です。

体高は23〜76.2cmです。
体重は99〜77.1kgです。
寿命は10〜12 年です。

特徴は勇敢です、大胆です、親切です。

落ち着いています。
独立心が強いため、しつけには一貫した対応が求められます。
よそよそしく用心深いです。
週に2〜3回のブラッシングが必要です。
定期的に抜け毛があります。"
Cavalier King Charles Spaniel,12-13 inches,13-18 pounds,12-15 years,"Affectionate, Gentle, Graceful",Weekly Brushing,Occasional,Calm,Eager to Please,Friendly,"Cavalier King Charles Spanielは犬種です。

体高は12〜33cmです。
体重は13〜8.2kgです。
寿命は12〜15 年です。

特徴は愛情深いです、穏やかで優しいです、優雅です。

落ち着いています。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Central Asian Shepherd Dog,Minimum: 25.5-27.5 inches,Minimum: 88-110 pounds,,"Independent, Courageous, Self-Confident",Occasional Bath/Brush,Seasonal,Calm,Independent,Aloof/Wary,"Central Asian Shepherd Dogは犬種です。

体高は以上: 25.5〜69.8cmです。
体重は以上: 88〜49.9kgです。
寿命は不明です。

特徴は独立心が強いです、勇敢です、自信に満ちています。

落ち着いています。
独立心が強いため、しつけには一貫した対応が求められます。
よそよそしく用心深いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Cesky Terrier,10-13 inches,14-24 pounds,12-15 years,"Clever, Adventurous, Family-Oriented",Weekly Brushing,Occasional,Regular Exercise,Agreeable,Reserved with Strangers,"Cesky Terrierは犬種です。

体高は10〜33cmです。
体重は14〜10.9kgです。
寿命は12〜15 年です。

特徴は賢いです、冒険好きです、家族思いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Chesapeake Bay Retriever,"23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-13 years,"Affectionate, Bright, Sensitive",2-3 Times a Week Brushing,Regularly,Energetic,Agreeable,Reserved with Strangers,"Chesapeake Bay Retrieverは犬種です。

体高は23〜66cm (オス)、 21〜61cm (メス)です。
体重は65〜36.3kg (オス)、 55〜31.8kg (メス)です。
寿命は10〜13 年です。

特徴は愛情深いです、明るいです、敏感です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
定期的に抜け毛があります。"
Chihuahua,5-8 inches,not exceeding 6 pounds,14-16 years,"Charming, Graceful, Sassy",Occasional Bath/Brush,Occasional,Regular Exercise,Independent,Alert/Responsive,"Chihuahuaは犬種です。

体高は5〜20.3cmです。
体重はを超えない 2.7kgです。
寿命は14〜16 年です。

特徴は魅力的です、優雅です、生意気です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Chinese Crested,11-13 inches,8-12 pounds,13-18 years,"Affectionate, Alert, Lively",Occasional Bath/Brush,Infrequent,Regular Exercise,Agreeable,Friendly,"Chinese Crestedは犬種です。

体高は11〜33cmです。
体重は8〜5.4kgです。
寿命は13〜18 年です。

特徴は愛情深いです、警戒心が強いです、陽気です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Chinese Shar-Pei,18-20 inches,45-60 pounds,8-12 years,"Loyal, Independent, Calm",Occasional Bath/Brush,Regularly,Regular Exercise,May be Stubborn,Reserved with Strangers,"Chinese Shar-Peiは犬種です。

体高は18〜50.8cmです。
体重は45〜27.2kgです。
寿命は8〜12 年です。

特徴は忠実です、独立心が強いです、冷静です。

適度な運動が必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
Chinook,"24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12-15 years,"Smart, Patient, Devoted",Weekly Brushing,Seasonal,Energetic,Eager to Please,Friendly,"Chinookは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は55〜40.8kg (オス)、 50〜29.5kg (メス)です。
寿命は12〜15 年です。

特徴は頭がいいです、忍耐強いです、献身的です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Chow Chow,17-20 inches,45-70 pounds,8-12 years,"Dignified, Bright, Serious-Minded",2-3 Times a Week Brushing,Seasonal,Regular Exercise,May be Stubborn,Reserved with Strangers,"Chow Chowは犬種です。

体高は17〜50.8cmです。
体重は45〜31.8kgです。
寿命は8〜12 年です。

特徴は威厳があります、明るいです、まじめです。

適度な運動が必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Cirneco dell’Etna,"18-19.5 inches (male), 16.5-18 inches (female)","22-26 pounds (male), 17-22 pounds (female)",12-14 years,"Affectionate, Friendly, Independent",Occasional Bath/Brush,Infrequent,Regular Exercise,Agreeable,Alert/Responsive,"Cirneco dell’Etnaは犬種です。

体高は18〜49.5cm (オス)、 16.5〜45.7cm (メス)です。
体重は22〜11.8kg (オス)、 17〜10kg (メス)です。
寿命は12〜14 年です。

特徴は愛情深いです、友好的です、独立心が強いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Clumber Spaniel,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,"Mellow, Amusing, Gentlemanly",Weekly Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,"Clumber Spanielは犬種です。

体高は18〜50.8cm (オス)、 17〜48.3cm (メス)です。
体重は70〜38.6kg (オス)、 55〜31.8kg (メス)です。
寿命は10〜12 年です。

特徴は穏やかです、面白いです、紳士的です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Cocker Spaniel,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,"Gentle, Smart, Happy",Daily Brushing,Occasional,Regular Exercise,Eager to Please,Outgoing,"Cocker Spanielは犬種です。

体高は14.5〜39.4cm (オス)、 13.5〜36.8cm (メス)です。
体重は25〜13.6kg (オス)、 20〜11.3kg (メス)です。
寿命は10〜14 年です。

特徴は穏やかで優しいです、頭がいいです、明るいです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
社交的な性格です。
毎日のブラッシングが必要です。
抜け毛はややあります。"
Collie,"24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12-14 years,"Devoted, Graceful, Proud",2-3 Times a Week Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"Collieは犬種です。

体高は24〜66cm (オス)、 22〜61cm (メス)です。
体重は60〜34kg (オス)、 50〜29.5kg (メス)です。
寿命は12〜14 年です。

特徴は献身的です、優雅です、誇り高いです。

適度な運動が必要です。
しつけは容易な傾向があります。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Coton de Tulear,"10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15-19 years,"Charming, Bright, Happy-Go-Lucky",Daily Brushing,Occasional,Regular Exercise,Easy Training,Outgoing,"Coton de Tulearは犬種です。

体高は10〜27.9cm (オス)、 9〜25.4cm (メス)です。
体重は9〜6.8kg (オス)、 8〜5.9kg (メス)です。
寿命は15〜19 年です。

特徴は魅力的です、明るいです、楽天的です。

適度な運動が必要です。
しつけは容易な傾向があります。
社交的な性格です。
毎日のブラッシングが必要です。
抜け毛はややあります。"
Croatian Sheepdog,16-20 inches,29-44 pounds,13-14 years,"Loyal, Active, Alert and Intelligent",Occasional Bath/Brush,Occasional,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"Croatian Sheepdogは犬種です。

体高は16〜50.8cmです。
体重は29〜20kgです。
寿命は13〜14 年です。

特徴は忠実です、活動的です、機敏で知的です。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Curly-Coated Retriever,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,"Confident, Proud, Wickedly Smart",Occasional Bath/Brush,Occasional,Energetic,Independent,Reserved with Strangers,"Curly-Coated Retrieverは犬種です。

体高は25〜68.6cm (オス)、 23〜63.5cm (メス)です。
体重は60〜43.1kgです。
寿命は10〜12 年です。

特徴は自信に満ちています、誇り高いです、非常に賢いです。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Czechoslovakian Vlcak,Minimum: 23.5-25.5 inches,Minimum: 44-57 pounds,10-15 years,"Loyal, Intelligent, Active",Weekly Brushing,Frequent,Needs Lots of Activity,May be Stubborn,Aloof/Wary,"Czechoslovakian Vlcakは犬種です。

体高は以上: 23.5〜64.8cmです。
体重は以上: 44〜25.9kgです。
寿命は10〜15 年です。

特徴は忠実です、知的です、活動的です。

非常に活発で、多くの運動や遊びが必要です。
しつけには根気が必要です。
よそよそしく用心深いです。
週に1回程度のブラッシングが必要です。
普段から抜け毛が多い犬種です。"
Dachshund,"8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12-16 years,"Friendly, Curious, Spunky",Weekly Brushing,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"Dachshundは犬種です。

体高は8〜22.9cm （スタンダード）、 5〜15.2cm （ミニチュア）です。
体重は16〜14.5kg （スタンダード）、 5kg & 未満 （ミニチュア）です。
寿命は12〜16 年です。

特徴は友好的です、好奇心旺盛です、活発です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Dalmatian,19-24 inches,45-70 pounds,11-13 years,"Dignified, Smart, Outgoing",Weekly Brushing,Frequent,Energetic,Agreeable,Alert/Responsive,"Dalmatianは犬種です。

体高は19〜61cmです。
体重は45〜31.8kgです。
寿命は11〜13 年です。

特徴は威厳があります、頭がいいです、社交的です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
普段から抜け毛が多い犬種です。"
Dandie Dinmont Terrier,8-11 inches,18-24 pounds,12-15 years,"Independent, Smart, Proud",Daily Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"Dandie Dinmont Terrierは犬種です。

体高は8〜27.9cmです。
体重は18〜10.9kgです。
寿命は12〜15 年です。

特徴は独立心が強いです、頭がいいです、誇り高いです。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
毎日のブラッシングが必要です。
抜け毛は少ないです。"
Danish-Swedish Farmdog,12.5-14.5 inches,15-20 pounds,11-13 years,"Energetic, Trainable, Attentive",Occasional Bath/Brush,Occasional,Energetic,,,"Danish-Swedish Farmdogは犬種です。

体高は12.5〜36.8cmです。
体重は15〜9.1kgです。
寿命は11〜13 年です。

特徴はエネルギッシュです、しつけを覚えやすいです、注意深いです。

多くの運動を必要とします。
不明
不明
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Barbet,19-24.5 inches,35-65 pounds,12-14 years,"Friendly, Bright, Sweet-Natured",Weekly Brushing,Infrequent,Regular Exercise,Agreeable,Friendly,"Barbetは犬種です。

体高は19〜62.2cmです。
体重は35〜29.5kgです。
寿命は12〜14 年です。

特徴は友好的です、明るいです、気立てが優しいです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
Doberman Pinscher,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,"Loyal, Fearless, Alert",Occasional Bath/Brush,Regularly,Needs Lots of Activity,Eager to Please,Alert/Responsive,"Doberman Pinscherは犬種です。

体高は26〜71.1cm (オス)、 24〜66cm (メス)です。
体重は75〜45.4kg (オス)、 60〜40.8kg (メス)です。
寿命は10〜12 年です。

特徴は忠実です、勇敢です、警戒心が強いです。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
Dogo Argentino,"24-26.5 inches (male), 24-25.5 inches (female)","88-100 pounds (male), 88-95 pounds (female)",9-15 years,"Friendly, Cheerful, Humble",Occasional Bath/Brush,Infrequent,Needs Lots of Activity,,,"Dogo Argentinoは犬種です。

体高は24〜67.3cm (オス)、 24〜64.8cm (メス)です。
体重は88〜45.4kg (オス)、 88〜43.1kg (メス)です。
寿命は9〜15 年です。

特徴は友好的です、朗らかです、謙虚です。

非常に活発で、多くの運動や遊びが必要です。
不明
不明
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Dogue de Bordeaux,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,"Affectionate, Loyal, Courageous",Occasional Bath/Brush,Regularly,Regular Exercise,Agreeable,Alert/Responsive,"Dogue de Bordeauxは犬種です。

体高は59.1cm (オス)、 23〜66cm (メス)です。
体重は49.9kg 以上 (オス)、 44.9kg 以上 (メス)です。
寿命は5〜8 年です。

特徴は愛情深いです、忠実です、勇敢です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
Drentsche Patrijshond,21-25 inches,48-73 pounds,11–14 years,"Loyal, Intelligent, Sensitive",Weekly Brushing,Regularly,Energetic,Agreeable,Reserved with Strangers,"Drentsche Patrijshondは犬種です。

体高は21〜63.5cmです。
体重は48〜33.1kgです。
寿命は11–14 年です。

特徴は忠実です、知的です、敏感です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
定期的に抜け毛があります。"
Drever,12-15 inches,35-40 pounds,~15 years,"Loyal, Even-Tempered, Determined",Occasional Bath/Brush,Occasional,Regular Exercise,May be Stubborn,Alert/Responsive,"Dreverは犬種です。

体高は12〜38.1cmです。
体重は35〜18.1kgです。
寿命は~15 年です。

特徴は忠実です、穏やかです、決意が固いです。

適度な運動が必要です。
しつけには根気が必要です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Dutch Shepherd,21.5-24.5 inches,42-75 pounds,11-14 years,"Intelligent, Lively, Athletic",Weekly Brushing,Seasonal,Needs Lots of Activity,Agreeable,Alert/Responsive,"Dutch Shepherdは犬種です。

体高は21.5〜62.2cmです。
体重は42〜34kgです。
寿命は11〜14 年です。

特徴は知的です、陽気です、運動能力が高いです。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
English Cocker Spaniel,"16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12-14 years,"Energetic, Merry, Responsive",2-3 Times a Week Brushing,Occasional,Regular Exercise,Eager to Please,Friendly,"English Cocker Spanielは犬種です。

体高は16〜43.2cm (オス)、 15〜40.6cm (メス)です。
体重は28〜15.4kg (オス)、 26〜14.5kg (メス)です。
寿命は12〜14 年です。

特徴はエネルギッシュです、愉快です、反応性が高いです。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
English Foxhound,24 inches,60-75 pounds,10-13 years,"Affectionate, Gentle, Sociable",Occasional Bath/Brush,Regularly,Energetic,Agreeable,Friendly,"English Foxhoundは犬種です。

体高は61cmです。
体重は60〜34kgです。
寿命は10〜13 年です。

特徴は愛情深いです、穏やかで優しいです、社交的です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
定期的に抜け毛があります。"
English Setter,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,"Friendly, Mellow, Merry",2-3 Times a Week Brushing,Regularly,Energetic,Easy Training,Friendly,"English Setterは犬種です。

体高は25〜68.6cm (オス)、 23〜63.5cm (メス)です。
体重は65〜36.3kg (オス)、 45〜24.9kg (メス)です。
寿命は12 年です。

特徴は友好的です、穏やかです、愉快です。

多くの運動を必要とします。
しつけは容易な傾向があります。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
定期的に抜け毛があります。"
